imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0033563,"Ben Sharpsteen,Bill Roberts,Samuel Armstrong,Wilfred Jackson,Jack Kinney,Norman Ferguson",3.39,230385
tt0033627,Michael Powell,3.63,6144
tt0033677,Edmund Goulding,3.39,1755
tt0033712,Alexander Hall,3.63,4846
tt0033717,Raoul Walsh,3.7,17373
tt0033722,Mitchell Leisen,3.63,2301
tt0033727,Dave Fleischer,3.32,1223
tt0033729,John Ford,4.04,27299
tt0033740,H. Bruce Humberstone,3.48,4792
tt0033804,Preston Sturges,3.96,36000
tt0033836,William Wyler,3.81,8493
tt0033852,Jack Conway,3.45,1924
tt0033870,John Huston,3.92,121827
tt0033873,Fritz Lang,3.45,6339
tt0033874,William Keighley,3.54,5392
tt0033891,Frank Capra,3.71,11072
tt0033902,Norman Taurog,3.29,280
tt0033980,Irving Rapper,3.03,657
tt0034012,George Stevens,3.5,5066
tt0034091,"Alfred L. Werker,Hamilton Luske",3.17,6187
tt0034116,Victor Schertzinger,3.16,1224
tt0034167,Howard Hawks,3.56,8786
tt0034172,W.S. Van Dyke,3.45,4372
tt0034175,Josef von Sternberg,3.42,1828
tt0034236,Raoul Walsh,3.65,3668
tt0034248,Alfred Hitchcock,3.52,44155
tt0034272,Alexander Korda,3.5,3063
tt0034274,Ernst Lubitsch,3.29,2759
tt0034303,Roy Del Ruth,3.28,1278
tt0034384,Fritz Lang,3.32,1574
tt0034398,George Waggner,3.51,54686
tt0034399,George Cukor,3.67,3549
tt0034428,John Huston,3.24,2494
tt0034449,Vincent Sherman,3.47,2217
tt0034465,John Rawlins,3.08,731
tt0034478,Henri-Georges Clouzot,3.69,4539
tt0034492,David Hand,3.52,302457
tt0034522,Henry King,3.2,2197
tt0034578,Michael Curtiz,3.21,529
tt0034587,Jacques Tourneur,3.67,67333
tt0034646,Raoul Walsh,3.39,658
tt0034742,David Miller,3.23,837
tt0034746,Busby Berkeley,3.37,3681
tt0034778,Raoul Walsh,3.86,2567
tt0034786,Erle C. Kenton,2.93,7455
tt0034798,Stuart Heisler,3.42,7251
tt0034881,René Clair,3.55,25853
tt0034891,"Noël Coward,David Lean",3.44,3697
tt0034946,Sam Wood,3.42,1901
tt0035015,Orson Welles,3.89,33462
tt0035019,Billy Wilder,3.6,5939
tt0035093,William Wyler,3.73,12016
tt0035096,Harold Young,2.6,4452
tt0035100,Sidney Lanfield,3.37,535
tt0035105,Alexander Hall,3.34,702
tt0035140,Irving Rapper,3.91,18463
tt0035153,"Michael Powell,Emeric Pressburger",3.48,1732
tt0035169,Preston Sturges,3.8,15642
tt0035189,Irving Pichel,3.35,463
tt0035238,Mervyn LeRoy,3.9,3795
tt0035262,David Butler,3.39,3033
tt0035272,William A. Wellman,3.42,1024
tt0035279,Alfred Hitchcock,3.51,22887
tt0035417,George Stevens,3.66,6663
tt0035419,Richard Thorpe,3.23,828
tt0035423,James Mangold,3.04,49714
tt0035432,Frank Tuttle,3.61,9820
tt0035446,Ernst Lubitsch,4.32,51460
tt0035530,John Farrow,3.17,731
tt0035567,George Stevens,3.4,8621
tt0035583,William A. Seiter,3.58,3975
tt0035616,Howard Hawks,3.41,1752
tt0035703,Vincente Minnelli,3.51,3364
tt0035713,Edward Dmytryk,2.74,835
tt0035798,Charles Vidor,3.22,487
tt0035799,Delmer Daves,3.3,1663
tt0035884,Billy Wilder,3.63,6909
tt0035896,Sam Wood,3.19,3965
tt0035916,Busby Berkeley,3.49,2251
tt0035937,Mark Robson,3.34,3868
tt0035959,Victor Fleming,3.37,1165
tt0035979,Ernst Lubitsch,3.68,12080
tt0036022,Clarence Brown,3.22,980
tt0036057,William K. Howard,3.38,230
tt0036094,William A. Wellman,3.08,1820
tt0036098,Fred M. Wilcox,3.37,2695
tt0036104,Jacques Tourneur,3.55,9222
tt0036112,"Michael Powell,Emeric Pressburger",4.23,22577
tt0036126,Mervyn LeRoy,3.43,1492
tt0036174,H. C. Potter,3.32,1228
tt0036182,Harold D. Schuster,3.33,317
tt0036241,Howard Hughes,2.67,2877
tt0036260,Robert Siodmak,3.64,7784
tt0036261,Arthur Lubin,3.08,11815
tt0036323,Zoltan Korda,3.64,3958
tt0036341,Mark Robson,3.52,13902
